loading word embeddings...
Loaded word embeddings from cache.
 [==========================--------------] ...Epoch 3, Loss: 0.5402
 
 [==========================--------------] ...Epoch 3, Loss: 0.5071
 
 [===========================-------------] ...Epoch 3, Loss: 0.5768
 
 [===========================-------------] ...Epoch 3, Loss: 0.5174
 
 [============================------------] ...Epoch 3, Loss: 0.4811
 
 [============================------------] ...Epoch 3, Loss: 0.5287
 
 [=============================-----------] ...Epoch 3, Loss: 0.5057
 
 [=============================-----------] ...Epoch 3, Loss: 0.5579
 
 [==============================----------] ...Epoch 3, Loss: 0.5727
 
 [==============================----------] ...Epoch 3, Loss: 0.5878
 
 [===============================---------] ...Epoch 3, Loss: 0.5519
 
 [===============================---------] ...Epoch 3, Loss: 0.5620
 
 [================================--------] ...Epoch 3, Loss: 0.5642
 
 [================================--------] ...Epoch 3, Loss: 0.5287 best model!

 
 [=---------------------------------------] ...Epoch 4, Loss: 0.5500
 
 [=---------------------------------------] ...Epoch 4, Loss: 0.4687
 
 [==--------------------------------------] ...Epoch 4, Loss: 0.5632
 
 [==--------------------------------------] ...Epoch 4, Loss: 0.5285
 
 [===-------------------------------------] ...Epoch 4, Loss: 0.5973
 
 [===-------------------------------------] ...Epoch 4, Loss: 0.5257
 
 [====------------------------------------] ...Epoch 4, Loss: 0.5419
 
 [====------------------------------------] ...Epoch 4, Loss: 0.4837
 
 [=====-----------------------------------] ...Epoch 4, Loss: 0.5739
 
 [=====-----------------------------------] ...Epoch 4, Loss: 0.5885
 
 [======----------------------------------] ...Epoch 4, Loss: 0.5259
 
 [======----------------------------------] ...Epoch 4, Loss: 0.5447
 
 [=======---------------------------------] ...Epoch 4, Loss: 0.5239
 
 [=======---------------------------------] ...Epoch 4, Loss: 0.4828
 
 [========--------------------------------] ...Epoch 4, Loss: 0.5635
 
 [========--------------------------------] ...Epoch 4, Loss: 0.5373
 
 [=========-------------------------------] ...Epoch 4, Loss: 0.5152
 
 [=========-------------------------------] ...Epoch 4, Loss: 0.5526
 
 [==========------------------------------] ...Epoch 4, Loss: 0.5296
 
 [==========------------------------------] ...Epoch 4, Loss: 0.5714
 
 [===========-----------------------------] ...Epoch 4, Loss: 0.5830
 
 [===========-----------------------------] ...Epoch 4, Loss: 0.5095
 
 [============----------------------------] ...Epoch 4, Loss: 0.4869
 
 [============----------------------------] ...Epoch 4, Loss: 0.5615
 
 [=============---------------------------] ...Epoch 4, Loss: 0.4864
 
 [=============---------------------------] ...Epoch 4, Loss: 0.4737
 
 [==============--------------------------] ...Epoch 4, Loss: 0.5579
 
 [==============--------------------------] ...Epoch 4, Loss: 0.5040
 
 [===============-------------------------] ...Epoch 4, Loss: 0.4888
 
 [===============-------------------------] ...Epoch 4, Loss: 0.5344
 
 [================------------------------] ...Epoch 4, Loss: 0.6169
 
 [================------------------------] ...Epoch 4, Loss: 0.5529
 
 [=================-----------------------] ...Epoch 4, Loss: 0.5492
 
 [=================-----------------------] ...Epoch 4, Loss: 0.6100
 
 [==================----------------------] ...Epoch 4, Loss: 0.5373
 
 [==================----------------------] ...Epoch 4, Loss: 0.5531
 
 [===================---------------------] ...Epoch 4, Loss: 0.5175
 
 [===================---------------------] ...Epoch 4, Loss: 0.5197
 
 [====================--------------------] ...Epoch 4, Loss: 0.5670
 
 [====================--------------------] ...Epoch 4, Loss: 0.5412
 
 [=====================-------------------] ...Epoch 4, Loss: 0.4792
 
 [======================------------------] ...Epoch 4, Loss: 0.5140
 
 [======================------------------] ...Epoch 4, Loss: 0.7002
 
 [=======================-----------------] ...Epoch 4, Loss: 0.5178
 
 [=======================-----------------] ...Epoch 4, Loss: 0.5712
 
 [========================----------------] ...Epoch 4, Loss: 0.5266
 
 [========================----------------] ...Epoch 4, Loss: 0.5193
 
 [=========================---------------] ...Epoch 4, Loss: 0.5393
 
 [=========================---------------] ...Epoch 4, Loss: 0.5326
 
 [==========================--------------] ...Epoch 4, Loss: 0.5134
 
 [==========================--------------] ...Epoch 4, Loss: 0.6006
 
 [===========================-------------] ...Epoch 4, Loss: 0.4787
 
 [===========================-------------] ...Epoch 4, Loss: 0.5937
 
 [============================------------] ...Epoch 4, Loss: 0.5261
 
 [============================------------] ...Epoch 4, Loss: 0.5305
 
 [=============================-----------] ...Epoch 4, Loss: 0.5650
 
 [=============================-----------] ...Epoch 4, Loss: 0.5484
 
 [==============================----------] ...Epoch 4, Loss: 0.4480
 
 [==============================----------] ...Epoch 4, Loss: 0.5146
 
 [===============================---------] ...Epoch 4, Loss: 0.5351
 
 [===============================---------] ...Epoch 4, Loss: 0.5831
 
 [================================--------] ...Epoch 4, Loss: 0.5773
 
 [================================--------] ...Epoch 4, Loss: 0.4742
 
 [=---------------------------------------] ...Epoch 5, Loss: 0.5877
 
 [=---------------------------------------] ...Epoch 5, Loss: 0.5670
 
 [==--------------------------------------] ...Epoch 5, Loss: 0.5116
 
 [==--------------------------------------] ...Epoch 5, Loss: 0.5298
 
 [===-------------------------------------] ...Epoch 5, Loss: 0.4941
 
 [===-------------------------------------] ...Epoch 5, Loss: 0.5004
 
 [====------------------------------------] ...Epoch 5, Loss: 0.5738
 
 [====------------------------------------] ...Epoch 5, Loss: 0.6082
 
 [=====-----------------------------------] ...Epoch 5, Loss: 0.5620
 
 [=====-----------------------------------] ...Epoch 5, Loss: 0.5027
 
 [======----------------------------------] ...Epoch 5, Loss: 0.5331
 
 [======----------------------------------] ...Epoch 5, Loss: 0.5673
 
 [=======---------------------------------] ...Epoch 5, Loss: 0.4523
 
 [=======---------------------------------] ...Epoch 5, Loss: 0.5785
 
 [========--------------------------------] ...Epoch 5, Loss: 0.4884
 
 [========--------------------------------] ...Epoch 5, Loss: 0.5800
 
 [=========-------------------------------] ...Epoch 5, Loss: 0.5224
 
 [=========-------------------------------] ...Epoch 5, Loss: 0.5529
 
 [==========------------------------------] ...Epoch 5, Loss: 0.5115
 
 [==========------------------------------] ...Epoch 5, Loss: 0.5054
 
 [===========-----------------------------] ...Epoch 5, Loss: 0.4743
 
 [===========-----------------------------] ...Epoch 5, Loss: 0.5181
 
 [============----------------------------] ...Epoch 5, Loss: 0.4847
 
 [============----------------------------] ...Epoch 5, Loss: 0.5564
 
 [=============---------------------------] ...Epoch 5, Loss: 0.5369
 
 [=============---------------------------] ...Epoch 5, Loss: 0.6291
 
 [==============--------------------------] ...Epoch 5, Loss: 0.5245
 
 [==============--------------------------] ...Epoch 5, Loss: 0.5272
 
 [===============-------------------------] ...Epoch 5, Loss: 0.4960
 
 [===============-------------------------] ...Epoch 5, Loss: 0.5500
 
 [================------------------------] ...Epoch 5, Loss: 0.4765
 
 [================------------------------] ...Epoch 5, Loss: 0.5712
 
 [=================-----------------------] ...Epoch 5, Loss: 0.5679
 
 [=================-----------------------] ...Epoch 5, Loss: 0.4954
 
 [==================----------------------] ...Epoch 5, Loss: 0.5762
 
 [==================----------------------] ...Epoch 5, Loss: 0.5032
 
 [===================---------------------] ...Epoch 5, Loss: 0.5311
 
 [===================---------------------] ...Epoch 5, Loss: 0.4863
 
 [====================--------------------] ...Epoch 5, Loss: 0.4970
 
 [====================--------------------] ...Epoch 5, Loss: 0.5116
 
 [=====================-------------------] ...Epoch 5, Loss: 0.5040
 
 [======================------------------] ...Epoch 5, Loss: 0.4857
 
 [======================------------------] ...Epoch 5, Loss: 0.5595
 
 [=======================-----------------] ...Epoch 5, Loss: 0.5790
 
 [=======================-----------------] ...Epoch 5, Loss: 0.5329
 
 [========================----------------] ...Epoch 5, Loss: 0.5173
 
 [========================----------------] ...Epoch 5, Loss: 0.5182
 
 [=========================---------------] ...Epoch 5, Loss: 0.4883
 
 [=========================---------------] ...Epoch 5, Loss: 0.5226
 
 [==========================--------------] ...Epoch 5, Loss: 0.5459
 
 [==========================--------------] ...Epoch 5, Loss: 0.5225
 
 [===========================-------------] ...Epoch 5, Loss: 0.5455
 
 [===========================-------------] ...Epoch 5, Loss: 0.5336
 
 [============================------------] ...Epoch 5, Loss: 0.4921
 
 [============================------------] ...Epoch 5, Loss: 0.5628
 
 [=============================-----------] ...Epoch 5, Loss: 0.4875
 
 [=============================-----------] ...Epoch 5, Loss: 0.4714
 
 [==============================----------] ...Epoch 5, Loss: 0.4965
 
 [==============================----------] ...Epoch 5, Loss: 0.5659
 
 [===============================---------] ...Epoch 5, Loss: 0.5804
 
 [===============================---------] ...Epoch 5, Loss: 0.5099
 
 [================================--------] ...Epoch 5, Loss: 0.4565
 
 [================================--------] ...Epoch 5, Loss: 0.5172 best model!

 
 [=---------------------------------------] ...Epoch 6, Loss: 0.4734
 
 [=---------------------------------------] ...Epoch 6, Loss: 0.5531
 
 [==--------------------------------------] ...Epoch 6, Loss: 0.5448
 
 [==--------------------------------------] ...Epoch 6, Loss: 0.4969
 
 [===-------------------------------------] ...Epoch 6, Loss: 0.5534
 
 [===-------------------------------------] ...Epoch 6, Loss: 0.6269
 
 [====------------------------------------] ...Epoch 6, Loss: 0.4916
 
 [====------------------------------------] ...Epoch 6, Loss: 0.5050
 
 [=====-----------------------------------] ...Epoch 6, Loss: 0.4584
 
 [=====-----------------------------------] ...Epoch 6, Loss: 0.4691
 
 [======----------------------------------] ...Epoch 6, Loss: 0.4889
 
 [======----------------------------------] ...Epoch 6, Loss: 0.5852
 
 [=======---------------------------------] ...Epoch 6, Loss: 0.4990
 
 [=======---------------------------------] ...Epoch 6, Loss: 0.5906
 
 [========--------------------------------] ...Epoch 6, Loss: 0.5526
 
 [========--------------------------------] ...Epoch 6, Loss: 0.5206
 
 [=========-------------------------------] ...Epoch 6, Loss: 0.5461
 
 [=========-------------------------------] ...Epoch 6, Loss: 0.5275
 
 [==========------------------------------] ...Epoch 6, Loss: 0.5225
 
 [==========------------------------------] ...Epoch 6, Loss: 0.4687
 
 [===========-----------------------------] ...Epoch 6, Loss: 0.5392
 
 [===========-----------------------------] ...Epoch 6, Loss: 0.4990
 
 [============----------------------------] ...Epoch 6, Loss: 0.5182
 
 [============----------------------------] ...Epoch 6, Loss: 0.4673
 
 [=============---------------------------] ...Epoch 6, Loss: 0.5335
 
 [=============---------------------------] ...Epoch 6, Loss: 0.6083
 
 [==============--------------------------] ...Epoch 6, Loss: 0.4693
 
 [==============--------------------------] ...Epoch 6, Loss: 0.5487
 
 [===============-------------------------] ...Epoch 6, Loss: 0.5541
 
 [===============-------------------------] ...Epoch 6, Loss: 0.4715
 
 [================------------------------] ...Epoch 6, Loss: 0.4358
 
 [================------------------------] ...Epoch 6, Loss: 0.5313
 
 [=================-----------------------] ...Epoch 6, Loss: 0.5434
 
 [=================-----------------------] ...Epoch 6, Loss: 0.5070
 
 [==================----------------------] ...Epoch 6, Loss: 0.4956
 
 [==================----------------------] ...Epoch 6, Loss: 0.4837
 
 [===================---------------------] ...Epoch 6, Loss: 0.4747
 
 [===================---------------------] ...Epoch 6, Loss: 0.4112
 
 [====================--------------------] ...Epoch 6, Loss: 0.4841
 
 [====================--------------------] ...Epoch 6, Loss: 0.5283
 
 [=====================-------------------] ...Epoch 6, Loss: 0.4581
 
 [======================------------------] ...Epoch 6, Loss: 0.5219
 
 [======================------------------] ...Epoch 6, Loss: 0.5041
 
 [=======================-----------------] ...Epoch 6, Loss: 0.5522
 
 [=======================-----------------] ...Epoch 6, Loss: 0.4779
 
 [========================----------------] ...Epoch 6, Loss: 0.4803
 
 [========================----------------] ...Epoch 6, Loss: 0.4540
 
 [=========================---------------] ...Epoch 6, Loss: 0.4777
 
 [=========================---------------] ...Epoch 6, Loss: 0.5298
 
 [==========================--------------] ...Epoch 6, Loss: 0.5239
 
 [==========================--------------] ...Epoch 6, Loss: 0.5280
 
 [===========================-------------] ...Epoch 6, Loss: 0.5638
 
 [===========================-------------] ...Epoch 6, Loss: 0.4764
 
 [============================------------] ...Epoch 6, Loss: 0.4659
 
 [============================------------] ...Epoch 6, Loss: 0.4650
 
 [=============================-----------] ...Epoch 6, Loss: 0.5418
 
 [=============================-----------] ...Epoch 6, Loss: 0.5024
 
 [==============================----------] ...Epoch 6, Loss: 0.5113
 
 [==============================----------] ...Epoch 6, Loss: 0.4987
 
 [===============================---------] ...Epoch 6, Loss: 0.5469
 
 [===============================---------] ...Epoch 6, Loss: 0.4798
 
 [================================--------] ...Epoch 6, Loss: 0.5717
 
 [================================--------] ...Epoch 6, Loss: 0.5248 best model!

 
 [=---------------------------------------] ...Epoch 7, Loss: 0.4503
 
 [=---------------------------------------] ...Epoch 7, Loss: 0.5059
 
 [==--------------------------------------] ...Epoch 7, Loss: 0.5448
 
 [==--------------------------------------] ...Epoch 7, Loss: 0.4644
 
 [===-------------------------------------] ...Epoch 7, Loss: 0.4921
 
 [===-------------------------------------] ...Epoch 7, Loss: 0.5365
 
 [====------------------------------------] ...Epoch 7, Loss: 0.5753
 
 [====------------------------------------] ...Epoch 7, Loss: 0.4630
 
 [=====-----------------------------------] ...Epoch 7, Loss: 0.4938
 
 [=====-----------------------------------] ...Epoch 7, Loss: 0.5215
 
 [======----------------------------------] ...Epoch 7, Loss: 0.4991
 
 [======----------------------------------] ...Epoch 7, Loss: 0.5440
 
 [=======---------------------------------] ...Epoch 7, Loss: 0.5249
 
 [=======---------------------------------] ...Epoch 7, Loss: 0.4934
 
 [========--------------------------------] ...Epoch 7, Loss: 0.4835
 
 [========--------------------------------] ...Epoch 7, Loss: 0.4866
 
 [=========-------------------------------] ...Epoch 7, Loss: 0.5453
 
 [=========-------------------------------] ...Epoch 7, Loss: 0.4925
 
 [==========------------------------------] ...Epoch 7, Loss: 0.5036
 
 [==========------------------------------] ...Epoch 7, Loss: 0.5138
 
 [===========-----------------------------] ...Epoch 7, Loss: 0.5010
 
 [===========-----------------------------] ...Epoch 7, Loss: 0.5461
 
 [============----------------------------] ...Epoch 7, Loss: 0.5131
 
 [============----------------------------] ...Epoch 7, Loss: 0.4282
 
 [=============---------------------------] ...Epoch 7, Loss: 0.4814
 
 [=============---------------------------] ...Epoch 7, Loss: 0.4488
 
 [==============--------------------------] ...Epoch 7, Loss: 0.5724
 
 [==============--------------------------] ...Epoch 7, Loss: 0.4764
 
 [===============-------------------------] ...Epoch 7, Loss: 0.5169
 
 [===============-------------------------] ...Epoch 7, Loss: 0.4771
 
 [================------------------------] ...Epoch 7, Loss: 0.5031
 
 [================------------------------] ...Epoch 7, Loss: 0.4681
 
 [=================-----------------------] ...Epoch 7, Loss: 0.5609
 
 [=================-----------------------] ...Epoch 7, Loss: 0.5220
 
 [==================----------------------] ...Epoch 7, Loss: 0.4944
 
 [==================----------------------] ...Epoch 7, Loss: 0.4735
 
 [===================---------------------] ...Epoch 7, Loss: 0.4937
 
 [===================---------------------] ...Epoch 7, Loss: 0.4975
 
 [====================--------------------] ...Epoch 7, Loss: 0.4552
 
 [====================--------------------] ...Epoch 7, Loss: 0.4676
 
 [=====================-------------------] ...Epoch 7, Loss: 0.4975
 
 [======================------------------] ...Epoch 7, Loss: 0.5674
 
 [======================------------------] ...Epoch 7, Loss: 0.4914
 
 [=======================-----------------] ...Epoch 7, Loss: 0.4521
 
 [=======================-----------------] ...Epoch 7, Loss: 0.4896
 
 [========================----------------] ...Epoch 7, Loss: 0.4492
 
 [========================----------------] ...Epoch 7, Loss: 0.4256
 
 [=========================---------------] ...Epoch 7, Loss: 0.5462
 
 [=========================---------------] ...Epoch 7, Loss: 0.4976
 
 [==========================--------------] ...Epoch 7, Loss: 0.4307
 
 [==========================--------------] ...Epoch 7, Loss: 0.5484
 
 [===========================-------------] ...Epoch 7, Loss: 0.4278
 
 [===========================-------------] ...Epoch 7, Loss: 0.5106
 
 [============================------------] ...Epoch 7, Loss: 0.5323
 
 [============================------------] ...Epoch 7, Loss: 0.4781
 
 [=============================-----------] ...Epoch 7, Loss: 0.5240
 
 [=============================-----------] ...Epoch 7, Loss: 0.5514
 
 [==============================----------] ...Epoch 7, Loss: 0.4996
 
 [==============================----------] ...Epoch 7, Loss: 0.4194
 
 [===============================---------] ...Epoch 7, Loss: 0.5115
 
 [===============================---------] ...Epoch 7, Loss: 0.4404
 
 [================================--------] ...Epoch 7, Loss: 0.4985
 
 [================================--------] ...Epoch 7, Loss: 0.5809 best model!

 
 [=---------------------------------------] ...Epoch 8, Loss: 0.4448
 
 [=---------------------------------------] ...Epoch 8, Loss: 0.4940
 
 [==--------------------------------------] ...Epoch 8, Loss: 0.4921
 
 [==--------------------------------------] ...Epoch 8, Loss: 0.5283
 
 [===-------------------------------------] ...Epoch 8, Loss: 0.5775
 
 [===-------------------------------------] ...Epoch 8, Loss: 0.4976
 
 [====------------------------------------] ...Epoch 8, Loss: 0.4659
 
 [====------------------------------------] ...Epoch 8, Loss: 0.5212
 
 [=====-----------------------------------] ...Epoch 8, Loss: 0.4777
 
 [=====-----------------------------------] ...Epoch 8, Loss: 0.4955
 
 [======----------------------------------] ...Epoch 8, Loss: 0.5466
 
 [======----------------------------------] ...Epoch 8, Loss: 0.4884
 
 [=======---------------------------------] ...Epoch 8, Loss: 0.4133
 
 [=======---------------------------------] ...Epoch 8, Loss: 0.4244
 
